origin/claude/apps/android/feed-comment-mention-autocomplete	CONTENT_MERGED_PATCHID	PR_MERGED	#2029
origin/claude/apps/android/feed-comment-mention-remote-merge	CONTENT_MERGED_PATCHID	PR_MERGED	#2042
origin/claude/apps/android/feed-comment-mention-rendering	CONTENT_MERGED_PATCHID	PR_MERGED	#2021
origin/claude/apps/android/feed-comment-realtime-delete	CONTENT_MERGED_PATCHID	PR_MERGED	#2014
origin/claude/apps/android/feed-comment-replies	CONTENT_MERGED_PATCHID	PR_MERGED	#2005
origin/claude/apps/android/feed-media-fullscreen-gallery	CONTENT_MERGED_PATCHID	PR_MERGED	#2027
origin/claude/apps/android/feed-new-posts-banner	CONTENT_MERGED_PATCHID	PR_MERGED	#1989
origin/claude/apps/android/feed-post-detail-comments	CONTENT_MERGED_PATCHID	PR_MERGED	#2003
origin/claude/apps/android/feed-post-detail-screen	CONTENT_MERGED_PATCHID	PR_MERGED	#2000
origin/claude/apps/android/feed-post-language-strip	CONTENT_MERGED_PATCHID	PR_MERGED	#1821
origin/claude/apps/android/feed-post-language-switch	CONTENT_MERGED_PATCHID	PR_MERGED	#1823
origin/claude/apps/android/feed-postdetail-commentcount-badge	CONTENT_MERGED_PATCHID	PR_MERGED	#2019
origin/claude/apps/android/feed-postdetail-realtime-comments	CONTENT_MERGED_PATCHID	PR_MERGED	#2012
origin/claude/apps/android/feed-realtime-bookmark-sync	CONTENT_MERGED_PATCHID	PR_MERGED	#1993
origin/claude/apps/android/feed-realtime-like-sync	CONTENT_MERGED_PATCHID	PR_MERGED	#1992
origin/claude/apps/android/feed-realtime-post-deleted	SUBJECT_LANDED_SQUASH	PR_MERGED	#1990
origin/claude/apps/android/feed-reply-composition	CONTENT_MERGED_PATCHID	PR_MERGED	#2007
origin/claude/apps/android/feed-reply-preview	CONTENT_MERGED_PATCHID	PR_MERGED	#2010
origin/claude/apps/android/feed-repost-embed-cell	CONTENT_MERGED_PATCHID	PR_MERGED	#2002
origin/claude/apps/android/feed-user-posts-screen	CONTENT_MERGED_PATCHID	PR_MERGED	#1997
origin/claude/apps/android/friend-request-outbox-idempotency	CONTENT_MERGED_PATCHID	PR_MERGED	#1458
origin/claude/apps/android/friendship-relationship-resolver	CONTENT_MERGED_PATCHID	PR_MERGED	#1431
origin/claude/apps/android/media-auto-download-decider	CONTENT_MERGED_PATCHID	PR_MERGED	#1881
origin/claude/apps/android/media-blob-store	CONTENT_MERGED_PATCHID	PR_MERGED	#990
origin/claude/apps/android/media-image-compression-plan	CONTENT_MERGED_PATCHID	PR_MERGED	#1895
origin/claude/apps/android/media-thumbhash-decode	CONTENT_MERGED_PATCHID	PR_MERGED	#1898
origin/claude/apps/android/media-thumbhash-encode	CONTENT_MERGED_PATCHID	PR_MERGED	#1899
origin/claude/apps/android/media-upload-api	CONTENT_MERGED_PATCHID	PR_MERGED	#972
origin/claude/apps/android/media-upload-cancel	CONTENT_MERGED_PATCHID	PR_MERGED	#998
origin/claude/apps/android/media-upload-sender	CONTENT_MERGED_PATCHID	PR_MERGED	#994
origin/claude/apps/android/media-waveform-interpolation	CONTENT_MERGED_PATCHID	PR_MERGED	#1896
origin/claude/apps/android/message-effects-lifecycle	SUBJECT_LANDED_SQUASH	PR_MERGED	#1562
origin/claude/apps/android/notifications-row-relative-time	CONTENT_MERGED_PATCHID	PR_MERGED	#1941
origin/claude/apps/android/notifications-type-accent-color	CONTENT_MERGED_PATCHID	PR_MERGED	#1940
origin/claude/apps/android/outbox-dependency-gating	CONTENT_MERGED_PATCHID	PR_MERGED	#985
origin/claude/apps/android/outbox-flush-retry-on-blocked	CONTENT_MERGED_PATCHID	PR_MERGED	#1003
origin/claude/apps/android/outbox-lane-map-ssot	CONTENT_MERGED_PATCHID	PR_MERGED	#1478
origin/claude/apps/android/outbox-multi-dependency	CONTENT_MERGED_PATCHID	PR_MERGED	#1004
origin/claude/apps/android/outbox-produced-id-writeback	CONTENT_MERGED_PATCHID	PR_MERGED	#987
origin/claude/apps/android/presence-away-indicator	CONTENT_MERGED_PATCHID	PR_MERGED	#1474
