branche	date	commits_avance	fichiers_code_en_conflit	zones	statut_pr	prs
origin/claude/loving-fermat-o5eh19	2026-07-07	3	1	services/gateway	PR_MERGED	#1604
origin/claude/loving-fermat-vlnyog	2026-07-11	2	4	packages/shared,services/gateway	PR_MERGED	#1830
origin/claude/loving-thompson-g6tufn	2026-07-11	2	3	apps/ios	PR_MERGED	#1828
origin/claude/loving-thompson-gjaz4e	2026-07-06	1	4	apps/web,services/gateway	PR_CLOSED_UNMERGED	#1589
origin/claude/loving-thompson-gsvck1	2026-07-10	3	5	apps/ios,services/gateway	PR_MERGED	#1809
origin/claude/loving-thompson-vrpym8	2026-07-10	2	6	apps/ios	PR_CLOSED_UNMERGED	#1795
origin/claude/loving-thompson-xr8nzh	2026-07-11	1	3	packages/shared,services/gateway	PR_CLOSED_UNMERGED	#1871
origin/claude/loving-thompson-xwaofr	2026-07-11	2	3	apps/ios	PR_MERGED	#1868
origin/claude/modest-cori-bosv4t	2026-07-26	1	3	services/gateway	NO_PR	-
origin/claude/modest-cori-hsuvvd	2026-08-02	2	4		PR_CLOSED_UNMERGED	#2454
origin/claude/notification-feed-actions-sync-63zb62	2026-06-29	5	2	apps/ios,services/gateway	PR_MERGED	#1035
origin/claude/onboarding-contact-sync-xg9b70	2026-07-13	9	8	apps/ios,packages/MeeshySDK,services/gateway	PR_MERGED	#1938
origin/claude/photo-library-attachments-zbl7w1	2026-07-03	6	3	apps/ios	PR_MERGED	#1389
origin/claude/posts-comments-analysis-9PALq	2026-03-28	1	1	.github/workflows	PR_MERGED	#145
origin/claude/practical-fermat-16bsl0	2026-06-22	2	1	apps/web	PR_CLOSED_UNMERGED	#866
origin/claude/practical-fermat-47i08j	2026-06-30	3	2	apps/web	PR_MERGED	#1106
origin/claude/practical-fermat-6hb69o	2026-06-22	1	2	apps/web	PR_CLOSED_UNMERGED	#798,#803,#809
origin/claude/practical-fermat-6k4qmh	2026-06-22	1	2	apps/web	PR_CLOSED_UNMERGED	#773
origin/claude/practical-fermat-7sd3n7	2026-06-22	3	5	apps/web	PR_CLOSED_UNMERGED	#781
origin/claude/practical-fermat-d18nnl	2026-06-30	3	1	apps/web	PR_CLOSED_UNMERGED	#1095
origin/claude/practical-fermat-enbncw	2026-06-22	2	5	apps/web	PR_CLOSED_UNMERGED	#789
origin/claude/practical-fermat-mql80f	2026-06-30	3	2	apps/web	PR_MERGED	#1115
origin/claude/practical-fermat-mrz8qr	2026-06-22	1	2	apps/web	PR_CLOSED_UNMERGED	#782,#785,#788
origin/claude/practical-fermat-rv7kng	2026-06-22	1	1	apps/web	PR_CLOSED_UNMERGED	#837
origin/claude/practical-fermat-rzocwo	2026-06-22	2	2	apps/web	PR_CLOSED_UNMERGED	#802,#812
origin/claude/practical-fermat-sfhv06	2026-06-22	1	2	apps/web	PR_CLOSED_UNMERGED	#868
origin/claude/quirky-curie-52be0w	2026-07-26	2	5	apps/ios	NO_PR	-
origin/claude/quirky-curie-52uw8j	2026-07-26	1	8	apps/ios	PR_CLOSED_UNMERGED	#2351
origin/claude/quirky-curie-a2ves5	2026-07-26	2	3	apps/ios	PR_MERGED	#2319,#2335
origin/claude/quirky-curie-e9arc0	2026-07-26	3	4	apps/ios	PR_CLOSED_UNMERGED	#2345
origin/claude/quirky-curie-hvg35q	2026-07-26	1	1	apps/ios	PR_CLOSED_UNMERGED	#2341
origin/claude/quirky-curie-mlmono	2026-07-26	2	2	apps/ios	PR_MERGED	#2330,#2336
origin/claude/quirky-curie-qzp0o7	2026-07-26	2	3	apps/ios	NO_PR	-
origin/claude/quirky-curie-v9zcp4	2026-07-26	2	3	apps/ios	NO_PR	-
origin/claude/quirky-curie-wrdsoe	2026-07-26	4	6	apps/ios	PR_CLOSED_UNMERGED	#2340
origin/claude/quirky-curie-x6tws7	2026-07-26	2	5	apps/ios	PR_MERGED	#2332,#2342
origin/claude/refactor-conversation-vm-swaRR-16237793452360432114	2026-05-24	1	14	apps/ios,packages/MeeshySDK	PR_CLOSED_UNMERGED	#289
origin/claude/sharp-wozniak-dx26dd	2026-06-30	3	1	apps/web,services/gateway	PR_MERGED	#1136,#1141
origin/claude/sharp-wozniak-npfey5	2026-06-30	2	3	apps/web,packages/shared	PR_CLOSED_UNMERGED	#1126
origin/claude/sharp-wozniak-vz661u	2026-07-01	1	1	apps/web	PR_MERGED	#1247,#1290
origin/claude/story-bg-image-canvas-ratio-0kgbqn	2026-07-09	3	10	apps/ios,packages/MeeshySDK	PR_MERGED	#1741
origin/claude/story-reading-ux-3eqxmk	2026-07-13	9	9	apps/ios,packages/MeeshySDK	PR_MERGED	#1939
origin/claude/story-system-redesign-r972q7	2026-07-10	11	10	apps/ios,packages/MeeshySDK,packages/shared,services/gateway	PR_MERGED	#1806
origin/claude/sweet-cori-c3q82o	2026-06-27	2	3	apps/ios	PR_MERGED	#977
origin/claude/sweet-cori-n5hlpb	2026-06-28	4	3	apps/ios	PR_MERGED	#992
origin/claude/sweet-cori-voma1u	2026-06-29	4	4	apps/ios	PR_MERGED	#1018
origin/claude/tender-tesla-06ix7j	2026-06-26	16	11	apps/ios,apps/web,services/gateway	NO_PR	-
origin/claude/tender-tesla-b4oj50	2026-06-26	13	16	apps/ios,apps/web,packages/MeeshySDK,services/gateway	PR_CLOSED_UNMERGED	#949
origin/claude/tender-tesla-ceu507	2026-06-28	78	101	apps/web,services/gateway	PR_MERGED	#945
origin/claude/tender-tesla-co8ts4	2026-06-27	67	7	apps/web	PR_MERGED	#965,#976
origin/claude/tender-tesla-lhi2cp	2026-06-26	1	6	apps/ios,packages/MeeshySDK	PR_MERGED	#935
origin/claude/tender-tesla-ozoseg	2026-06-27	39	19	apps/ios,packages/MeeshySDK,services/gateway	PR_MERGED	#964
origin/claude/uiux-iter7	2026-06-08	1	7	apps/ios,apps/web	PR_CLOSED_UNMERGED	#390
origin/claude/uiux-iter7-2026-06-08	2026-06-08	1	8	apps/ios,apps/web	PR_CLOSED_UNMERGED	#391
origin/claude/upbeat-euler-512kep	2026-07-01	1	1	apps/ios	PR_MERGED	#1225,#1243,#1283
origin/claude/upbeat-euler-bx683k	2026-07-01	1	1	apps/ios	PR_MERGED	#1218,#1224,#1241,#1278,#1295
origin/claude/upbeat-euler-rod5v3	2026-07-01	1	1	apps/ios	PR_CLOSED_UNMERGED	#1273
origin/claude/video-editor-sota-precision	2026-05-21	6	9	packages/MeeshySDK	NO_PR	-
origin/claude/wizardly-rubin-v9thim	2026-06-12	2	12	apps/ios,packages/MeeshySDK	PR_CLOSED_UNMERGED	#612
origin/claude/wizardly-rubin-wnm76f	2026-06-12	3	16	apps/ios	PR_CLOSED_UNMERGED	#609
origin/claude/wonderful-goldberg-8xtr6s	2026-06-21	1	13	apps/android	PR_CLOSED_UNMERGED	#877
origin/claude/wonderful-noether-epdusc	2026-06-11	4	8	apps/android	PR_MERGED	#571
origin/claude/zen-albattani-3NlUP	2026-06-08	2	4	apps/ios,packages/MeeshySDK,packages/shared,services/gateway	NO_PR	-
origin/claude/zen-albattani-UEibr	2026-06-08	2	16	apps/web,packages/shared,services/gateway	NO_PR	-
origin/claude/zen-albattani-UuWH7	2026-06-08	1	7	apps/web,packages/shared,services/gateway	NO_PR	-
origin/claude/zen-albattani-oGeHv	2026-06-08	5	6	apps/ios,apps/web,infrastructure/docker,packages/MeeshySDK,packages/shared,services/gateway,services/translator	NO_PR	-
origin/claude/zod-v4-agent-migration	2026-06-23	2	2	pnpm-lock.yaml,services/agent,services/gateway	PR_MERGED	#846
